"{GraphName : SchwarzschildFlamm, GraphConstruction : radiusThresholdOriginal, RadialBin : 11., RadiusMean : 10.78996956662807, NReferenceVertices : 86., CLog_Mean : 1.070212483123712, CLog_SD : 0.14859453099913145, MeanShellSize_Mean : 31.848837209302324, MeanShellSize_SD : 6.7432187145317295, StdShellSize_Mean : 0., StdShellSize_SD : 0., MeanLogShellSize_Mean : 3.4699380890544185, MeanLogShellSize_SD : 0.21442250792951717, StdLogShellSize_Mean : 0., StdLogShellSize_SD : 0., MeanLogMultiplicityByShell_Mean : 1.6764503772922856, MeanLogMultiplicityByShell_SD : 0.3671058585048805, StdLogMultiplicityByShell_Mean : 0.9763541691543162, StdLogMultiplicityByShell_SD : 0.1576152493808394, Degree_Mean : 14.406976744186046, Degree_SD : 3.3374097281530255, ClusteringCoefficient_Mean : 0.6221567020714064, ClusteringCoefficient_SD : 0.09174758397582579}"
"{GraphName : SchwarzschildFlamm, GraphConstruction : radiusThresholdOriginal, RadialBin : 7., RadiusMean : 7.492894226821613, NReferenceVertices : 77., CLog_Mean : 1.205239861198987, CLog_SD : 0.13909248440783664, MeanShellSize_Mean : 69.42857142857143, MeanShellSize_SD : 7.773823436833878, StdShellSize_Mean : 0., StdShellSize_SD : 0., MeanLogShellSize_Mean : 4.2483886171404075, MeanLogShellSize_SD : 0.11330944400582568, StdLogShellSize_Mean : 0., StdLogShellSize_SD : 0., MeanLogMultiplicityByShell_Mean : 1.9203008269532436, MeanLogMultiplicityByShell_SD : 0.26557724224341805, StdLogMultiplicityByShell_Mean : 1.0882540954251279, StdLogMultiplicityByShell_SD : 0.13974136509744503, Degree_Mean : 18.493506493506494, Degree_SD : 4.263132578846886, ClusteringCoefficient_Mean : 0.6010190865787832, ClusteringCoefficient_SD : 0.0828041618399519}"
"{GraphName : SchwarzschildFlamm, GraphConstruction : radiusThresholdOriginal, RadialBin : 2., RadiusMean : 3.4153830210796823, NReferenceVertices : 81., CLog_Mean : 1.3936549012796484, CLog_SD : 0.10430324111527023, MeanShellSize_Mean : 85., MeanShellSize_SD : 7.33314393694819, StdShellSize_Mean : 0., StdShellSize_SD : 0., MeanLogShellSize_Mean : 4.450765205198398, MeanLogShellSize_SD : 0.08516623412454646, StdLogShellSize_Mean : 0., StdLogShellSize_SD : 0., MeanLogMultiplicityByShell_Mean : 2.427928988581679, MeanLogMultiplicityByShell_SD : 0.2070544170303498, StdLogMultiplicityByShell_Mean : 1.2548187810013618, StdLogMultiplicityByShell_SD : 0.10628992331435379, Degree_Mean : 31.209876543209877, Degree_SD : 4.443298463367941, ClusteringCoefficient_Mean : 0.5895764405344732, ClusteringCoefficient_SD : 0.05792790076161088}"
"{GraphName : SchwarzschildFlamm, GraphConstruction : radiusThresholdOriginal, RadialBin : 5., RadiusMean : 5.844938971895935, NReferenceVertices : 82., CLog_Mean : 1.276004114154059, CLog_SD : 0.11927431701096329, MeanShellSize_Mean : 86.86585365853658, MeanShellSize_SD : 9.022279960299585, StdShellSize_Mean : 0., StdShellSize_SD : 0., MeanLogShellSize_Mean : 4.470274875482158, MeanLogShellSize_SD : 0.10780079812310796, StdLogShellSize_Mean : 0., StdLogShellSize_SD : 0., MeanLogMultiplicityByShell_Mean : 2.1349277528275477, MeanLogMultiplicityByShell_SD : 0.24656381486887943, StdLogMultiplicityByShell_Mean : 1.1526917448278882, StdLogMultiplicityByShell_SD : 0.11994133708455847, Degree_Mean : 22.48780487804878, Degree_SD : 3.8912497673088073, ClusteringCoefficient_Mean : 0.6077880680595624, ClusteringCoefficient_SD : 0.06748109070826491}"
"{GraphName : SchwarzschildFlamm, GraphConstruction : radiusThresholdOriginal, RadialBin : 1., RadiusMean : 2.604219141781288, NReferenceVertices : 84., CLog_Mean : 1.3915638088579183, CLog_SD : 0.10917246532567947, MeanShellSize_Mean : 81.51190476190476, MeanShellSize_SD : 7.549824936323601, StdShellSize_Mean : 0., StdShellSize_SD : 0., MeanLogShellSize_Mean : 4.408690409648493, MeanLogShellSize_SD : 0.09347351403129722, StdLogShellSize_Mean : 0., StdLogShellSize_SD : 0., MeanLogMultiplicityByShell_Mean : 2.3586410692435686, MeanLogMultiplicityByShell_SD : 0.20389640483120075, StdLogMultiplicityByShell_Mean : 1.2608666568322733, StdLogMultiplicityByShell_SD : 0.11026630897169046, Degree_Mean : 25.738095238095237, Degree_SD : 6.322876895194487, ClusteringCoefficient_Mean : 0.6492329510868777, ClusteringCoefficient_SD : 0.0863452880380668}"
"{GraphName : SchwarzschildFlamm, GraphConstruction : radiusThresholdOriginal, RadialBin : 12., RadiusMean : 11.577464294180814, NReferenceVertices : 99., CLog_Mean : 1.0349377951128338, CLog_SD : 0.1850410866951155, MeanShellSize_Mean : 27.232323232323232, MeanShellSize_SD : 5.561948496536822, StdShellSize_Mean : 0., StdShellSize_SD : 0., MeanLogShellSize_Mean : 3.3211610410679833, MeanLogShellSize_SD : 0.1982544364484285, StdLogShellSize_Mean : 0., StdLogShellSize_SD : 0., MeanLogMultiplicityByShell_Mean : 1.5454534720517965, MeanLogMultiplicityByShell_SD : 0.441717208957624, StdLogMultiplicityByShell_Mean : 0.9475949583205565, StdLogMultiplicityByShell_SD : 0.18362196941126904, Degree_Mean : 9.8989898989899, Degree_SD : 3.205527590358565, ClusteringCoefficient_Mean : 0.7321677480768392, ClusteringCoefficient_SD : 0.150040475385282}"
"{GraphName : SchwarzschildFlamm, GraphConstruction : radiusThresholdOriginal, RadialBin : 6., RadiusMean : 6.631998913290603, NReferenceVertices : 82., CLog_Mean : 1.2518210095933897, CLog_SD : 0.12750661327264637, MeanShellSize_Mean : 78.09756097560975, MeanShellSize_SD : 8.994662005600961, StdShellSize_Mean : 0., StdShellSize_SD : 0., MeanLogShellSize_Mean : 4.364046745084025, MeanLogShellSize_SD : 0.11718963404879251, StdLogShellSize_Mean : 0., StdLogShellSize_SD : 0., MeanLogMultiplicityByShell_Mean : 2.0123738928043844, MeanLogMultiplicityByShell_SD : 0.3293812809629986, StdLogMultiplicityByShell_Mean : 1.1325274009137085, StdLogMultiplicityByShell_SD : 0.12170683847990245, Degree_Mean : 21.317073170731707, Degree_SD : 3.721403056728649, ClusteringCoefficient_Mean : 0.6034079103955232, ClusteringCoefficient_SD : 0.09210503989371142}"
"{GraphName : SchwarzschildFlamm, GraphConstruction : radiusThresholdOriginal, RadialBin : 3., RadiusMean : 4.23647466761002, NReferenceVertices : 79., CLog_Mean : 1.369822102467852, CLog_SD : 0.1101353958154615, MeanShellSize_Mean : 88.0506329113924, MeanShellSize_SD : 9.940720107766552, StdShellSize_Mean : 0., StdShellSize_SD : 0., MeanLogShellSize_Mean : 4.483129799531009, MeanLogShellSize_SD : 0.11092686663932934, StdLogShellSize_Mean : 0., StdLogShellSize_SD : 0., MeanLogMultiplicityByShell_Mean : 2.410181808081469, MeanLogMultiplicityByShell_SD : 0.22154353905274787, StdLogMultiplicityByShell_Mean : 1.2265061953685399, StdLogMultiplicityByShell_SD : 0.11346488336324449, Degree_Mean : 27.68354430379747, Degree_SD : 3.7056585414169114, ClusteringCoefficient_Mean : 0.58371120260098, ClusteringCoefficient_SD : 0.06815376872161422}"
"{GraphName : SchwarzschildFlamm, GraphConstruction : radiusThresholdOriginal, RadialBin : 10., RadiusMean : 9.95982155887775, NReferenceVertices : 95., CLog_Mean : 1.1006099863834649, CLog_SD : 0.17784233627547058, MeanShellSize_Mean : 38.88421052631579, MeanShellSize_SD : 7.810063281807995, StdShellSize_Mean : 0., StdShellSize_SD : 0., MeanLogShellSize_Mean : 3.665261875489972, MeanLogShellSize_SD : 0.2098127131501161, StdLogShellSize_Mean : 0., StdLogShellSize_SD : 0., MeanLogMultiplicityByShell_Mean : 1.7343736856067948, MeanLogMultiplicityByShell_SD : 0.36235326561803893, StdLogMultiplicityByShell_Mean : 1.0029004752397643, StdLogMultiplicityByShell_SD : 0.1698441986717455, Degree_Mean : 16.926315789473684, Degree_SD : 3.7423456782894693, ClusteringCoefficient_Mean : 0.6064972937818116, ClusteringCoefficient_SD : 0.09527016076913564}"
"{GraphName : SchwarzschildFlamm, GraphConstruction : radiusThresholdOriginal, RadialBin : 8., RadiusMean : 8.353125315908303, NReferenceVertices : 83., CLog_Mean : 1.191373745132497, CLog_SD : 0.14661745495146164, MeanShellSize_Mean : 62.66265060240964, MeanShellSize_SD : 10.334971542828104, StdShellSize_Mean : 0., StdShellSize_SD : 0., MeanLogShellSize_Mean : 4.139673984471312, MeanLogShellSize_SD : 0.17140580199618738, StdLogShellSize_Mean : 0., StdLogShellSize_SD : 0., MeanLogMultiplicityByShell_Mean : 1.879980347652676, MeanLogMultiplicityByShell_SD : 0.2730332453344957, StdLogMultiplicityByShell_Mean : 1.0845502251058161, StdLogMultiplicityByShell_SD : 0.15006397716096315, Degree_Mean : 18.44578313253012, Degree_SD : 4.729907470987383, ClusteringCoefficient_Mean : 0.6160010784361397, ClusteringCoefficient_SD : 0.0839336624206265}"
"{GraphName : SchwarzschildFlamm, GraphConstruction : radiusThresholdOriginal, RadialBin : 4., RadiusMean : 5.068837320933002, NReferenceVertices : 70., CLog_Mean : 1.3629191824152498, CLog_SD : 0.08278945813303219, MeanShellSize_Mean : 91.27142857142857, MeanShellSize_SD : 12.82199359182249, StdShellSize_Mean : 0., StdShellSize_SD : 0., MeanLogShellSize_Mean : 4.5147182754343795, MeanLogShellSize_SD : 0.14490500415917332, StdLogShellSize_Mean : 0., StdLogShellSize_SD : 0., MeanLogMultiplicityByShell_Mean : 2.277174474800626, MeanLogMultiplicityByShell_SD : 0.20411127076605315, StdLogMultiplicityByShell_Mean : 1.228587644051511, StdLogMultiplicityByShell_SD : 0.08301047004147588, Degree_Mean : 25.1, Degree_SD : 3.9458288378224546, ClusteringCoefficient_Mean : 0.5714618210424447, ClusteringCoefficient_SD : 0.05707111414833887}"
